num,tier,zone,city,company,address,industry
1,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Anderdon,Crawford Packaging Brampton,"115A Walker Dr, Brampton, ON L6T 5P5, Canada",packaging manufacturer
2,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Belle River,Plasman - Global Headquarters,"5245 Burke St, Tecumseh, ON N9G 0B9, Canada",plastics manufacturer
3,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Essex,Ford Motor Co. Essex Engine Plant,"3223 Lauzon Pkwy, Windsor, ON N8T 3C4, Canada",manufacturer
4,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Essex,Pepsico Beverages Canada,"333 Gosfield Townline W, Essex, ON N8M 2X5, Canada",manufacturer
5,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Harrow,Atlas Tube,"200 Clark St, Harrow, ON N0R 1G0, Canada",manufacturer
6,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Harrow,Atlas Tube - Harrow Truck Entrance,"600 Roseborough Rd, Harrow, ON N0R 1G0, Canada",manufacturer
7,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Harrow,Larry Renaud Ford Sales,"2560 Essex County Rd 20, Harrow, ON N0R 1G0, Canada",automotive parts manufacturer
8,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Harrow,Sanford and Son Supermarket,"77 King St E, Harrow, ON N0R 1G0, Canada",manufacturer
9,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,LaSalle,Arcelor Mittal,"300 Sprucewood Ave, Windsor, ON N9C 0B7, Canada",manufacturer
10,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Lakeshore,Plasman - Tilbury Manufacturing,"24 Industrial Park Rd, Tilbury, ON N0P 2L0, Canada",manufacturing company
11,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Lakeshore,Reko International Group Inc.,"469 Silver Creek Industrial Dr, Windsor, ON N8N 4W2, Canada",manufacturer
12,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Lakeshore,SyBridge Technologies,"465 Jutras Dr S, Windsor, ON N8N 5C4, Canada",manufacturer
13,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Stoney Point,MVA Stratford Inc.,"753 Ontario St, Stratford, ON N5A 3N7, Canada",automotive parts manufacturer
14,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Tecumseh,Crawford Packaging Essex,"350 South Talbot Rd N, Essex, ON N8M 2X6, Canada",packaging manufacturer
15,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Tecumseh,Flex N Gate,"538 Blanchard Park, Tecumseh, ON N8N 0B7, Canada",manufacturer
16,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Tecumseh,MAGNA Integram Windsor Seating (IWS),"201 Patillo Rd, Tecumseh, ON N8N 2L9, Canada",manufacturer
17,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,BASF Canada Inc,"845 Wyandotte St W, Windsor, ON N9A 5Y1, Canada",manufacturer
18,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,MAGNA Windsor Modules,"9305 Twin Oaks Dr, Windsor, ON N8N 5B8, Canada",OEM manufacturer
19,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,OPmobility Canada Inc.,"2570 Central Ave, Windsor, ON N8W 4J5, Canada",manufacturer
20,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,Plasman - Tecumseh Manufacturing,"418 Silver Creek Industrial Dr, Windsor, ON N8N 4Y3, Canada",manufacturer
21,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,Plasman - Windsor 1 Manufacturing,"5250 Outer Dr, Tecumseh, ON N9G 3B9, Canada",manufacturer
22,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,Plasman - Windsor 3 Manufacturing,"635 Sprucewood Ave, Windsor, ON N9C 0B3, Canada",manufacturer
23,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,Stellantis (Chrysler) Windsor,"2199 Chrysler Centre, Windsor, ON N8W 3Y3, Canada",manufacturer
24,Tier 1A — Multinational / Major OEM,Zone 1 — Windsor / Essex County,Windsor,Windsor Mold Group,"4035 Malden Rd, Windsor, ON N9C 2G4, Canada",manufacturer
25,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Blenheim,ANDRITZ Canada Inc.,"3 Allison Line, Blenheim, ON N0P 1A0, Canada",manufacturer
26,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Blenheim,Dana's Kitchen & Catering,"221 Talbot St W, Blenheim, ON N0P 1A0, Canada",food manufacturer
27,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Blenheim,Woodbridge Foam Corporation,"140 Cathcart St, Blenheim, ON N0P 1A0, Canada",manufacturer
28,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Barry Callebaut Canada,"390 Colborne St, Chatham, ON N7M 5J4, Canada",manufacturer
29,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Dajcor Aluminum Ltd,"155 Irwin St, Chatham, ON N7M 0N5, Canada",manufacturer
30,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Dana Canada Corporation,"1010 Richmond St, Chatham, ON N7M 5J5, Canada",manufacturer
31,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,"Greenfield Global Inc, Chatham","275 Bloomfield Rd, Chatham, ON N7M 0N6, Canada",manufacturer
32,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Linde Canada Inc - Carbon Dioxide Production Plant,"275 Bloomfield Rd, Chatham, ON N7M 0N6, Canada",manufacturing company
33,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Linde Canada Inc.,"116 Byng Ave, Chatham, ON N7M 3E2, Canada",manufacturer
34,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Pioneer Hi-Bred Canada Company,"650 Riverview Dr, Chatham, ON N7M 5J5, Canada",manufacturer
35,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Sonoco Canada Corporation,"674 Richmond St, Chatham, ON N7M 5K4, Canada",manufacturer
36,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham,Vitesco Technologies,"700 Park Ave E, Chatham, ON N7M 5J4, Canada",manufacturer
37,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Chatham Kent,Martinrea Metallic Canada Inc.,"99 Golf Course Line, Ridgetown, ON N0P 2C0, Canada",manufacturing company
38,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Dresden,Conagra Brands,"759 Wellington St, Dresden, ON N0P 1M0, Canada",manufacturer
39,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Dresden,Martinrea Fabco Metallic,"1130 Wellington St, Dresden, ON N0P 1M0, Canada",manufacturer
40,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Dresden,Weatherford Canada,"25351 Kent Bridge Rd, Dresden, ON N0P 1M0, Canada",OEM manufacturer
41,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Erie Beach,Siltech Corporation,"1700 Pettit Rd, Fort Erie, ON L2A 5M4, Canada",manufacturer
42,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Mitchell's Bay,Siltech Corporation,"225 Wicksteed Ave, East York, ON M4H 1G5, Canada",manufacturing company
43,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Wallaceburg,Progressive Ford Parts,"6975 Base Line E, Wallaceburg, ON N8A 5J6, Canada",automotive parts manufacturer
44,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Wallaceburg,Progressive Ford Sales Inc.,"6975 Base Line, Wallaceburg, ON N8A 5J6, Canada",automotive parts manufacturer
45,Tier 1A — Multinational / Major OEM,Zone 2 — Chatham-Kent,Wallaceburg,Wabtec Foundry,"40 Mason St, Wallaceburg, ON N8A 4M1, Canada",manufacturer
46,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Corunna,Air Products Canada Ltd,"150 St Clair Pkwy, Corunna, ON N0N 1G0, Canada",manufacturer
47,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Corunna,Dow Canada,"291 Albert St, Corunna, ON N0N 1J0, Canada",manufacturer
48,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Corunna,Nova Chemicals,"285 Albert St, Corunna, ON N0N 1G0, Canada",manufacturer
49,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Corunna,Shell Canada Products Limited,"150 St Clair Pkwy, Corunna, ON N0N 1G0, Canada",manufacturer
50,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Courtright,CF Industries - Courtright Nitrogen Complex,"161 Bickford Line, Courtright, ON N0N 1H0, Canada",manufacturer
51,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Courtright,Terra International (Canada) Inc,"161 Bickford Line, Courtright, ON N0N 1H0, Canada",manufacturer
52,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Forest,Forest Ford,"101 Main St S, Forest, ON N0N 1J0, Canada",automotive parts manufacturer
53,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Sarnia,Arlanxeo,"1265 Vidal St S, Sarnia, ON N7T 7Y2, Canada",manufacturer
54,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Sarnia,Arlanxeo Butyl Unit,"Sarnia, ON N7T 7J2, Canada",food manufacturer
55,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Sarnia,Borouge International - Corunna Site,"785 Petrolia Line, Corunna, ON N0N 1G0, Canada",manufacturer
56,Tier 1A — Multinational / Major OEM,Zone 3 — Sarnia / Lambton County,Sarnia,Borouge International - Rokeby Site,"804 Rokeby Line, Corunna, ON N0N 1M0, Canada",OEM manufacturer
