num,tier,zone,city,company,address,industry
304,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Muirkirk,Centennial Plastic Mfg. Inc.,"2590 S Sheridan Way, Mississauga, ON L5J 4G9, Canada",plastics manufacturer
305,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Muirkirk,Hale Packaging Solutions,"60 Roy Blvd, Brantford, ON N3R 7K2, Canada",packaging manufacturer
306,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Pain Court,En-Plas Inc.,"55 Nashdene Rd, Scarborough, ON M1V 0C1, Canada",injection molding company
307,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Pain Court,Praher Plastics Canada Ltd,"101 Saunders Rd, Barrie, ON L4N 9A7, Canada",injection molding company
308,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Pain Court,StackTeck Systems Ltd.,"1 Paget Rd, Brampton, ON L6T 5S2, Canada",injection molding company
309,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Pain Court,Windmill Plastics Ltd.,"290 Rue Victoria, Knowlton, QC J0E 1V0, Canada",injection molding company
310,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Ridgetown,Klippenstein Service Inc.,"101 Erie St N, Ridgetown, ON N0P 2C0, Canada",automotive parts manufacturer
311,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Shrewsbury,Amino North America Corporation,"15 Highbury Ave S, St Thomas, ON N5P 4J4, Canada",automotive parts manufacturer
312,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Shrewsbury,Brandelle Industries Ltd.,"311 Southgate Dr, Guelph, ON N1G 3M5, Canada",manufacturer
313,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Thamesville,JVD Manufacturing Ltd.,"166 Longwoods Rd, Thamesville, ON N0P 2K0, Canada",manufacturer
314,Tier 1B — Mid-Large Industrial,Zone 2 — Chatham-Kent,Tilbury,Carquest Auto Parts - Tilbury Automotive Ltd.,"17 Tilbury St, Tilbury, ON N0P 2L0, Canada",automotive parts manufacturer
