num,tier,zone,city,company,address,industry
1133,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,MCC Ontario,"128 Oak St W, Leamington, ON N8H 2B6, Canada",packaging manufacturer
1134,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Mersea Manufacturing,"1936 Mersea Road 1, Leamington, ON N8H 3V7, Canada",manufacturing company
1135,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Nima Imports Inc,"876 Seacliff Dr, Kingsville, ON N9Y 2K9, Canada",packaging manufacturer
1136,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Ordonez,"22 Talbot St W, Leamington, ON N8H 1M4, Canada",OEM manufacturer
1137,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Pier-C Produce Inc,"7 M C R Dr, Leamington, ON N8H 3N2, Canada",manufacturer
1138,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Plant Products Inc,"50 Hazelton St, Leamington, ON N8H 1B8, Canada",manufacturer
1139,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Premier Labels,"85 Wilkinson Dr, Leamington, ON N8H 1A4, Canada",packaging manufacturer
1140,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Pure Flavor®,"459 ON-77, Leamington, ON N8H 3V6, Canada",manufacturer
1141,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,R T Automotive Machine Shop Ltd,"139 Oak St W, Leamington, ON N8H 2B8, Canada",automotive parts manufacturer
1142,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Rwelds,"46 Mersea Road 19, Leamington, ON N8H 3V4, Canada",metal fabrication
1143,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Sawensberg,"1947 Setterington Dr, Kingsville, ON N9Y 2E5, Canada",metal fabrication
1144,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Solora Fresh - Headquarters,"1938 Road 3 E, Kingsville, ON N0P 2G0, Canada",packaging manufacturer
1145,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,The Fluffy Butt Hut!,"2 Kildeer Rd, Leamington, ON N8H 3V7, Canada",food manufacturer
1146,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,UE Enclosures,"605 Essex County Road 18, Leamington, ON N8H 3V5, Canada",manufacturing company
1147,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Universal Fabricating Inc,"1956 Setterington Dr, Kingsville, ON N9Y 2E5, Canada",metal fabrication
1148,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Leamington,Zing! Healthy Foods,"627 Rd. 14, R.R. #5, Leamington, ON N8H 3V8, Canada",food manufacturer
1149,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,McGregor,Formax Plastic Inc,"295 Industrial Blvd, Alexandria, ON K0C 1A0, Canada",injection molding company
1150,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,McGregor,Innovative Quality Mfg,"9575 Springer Hill Rd, Aylmer, ON N5H 2R1, Canada",manufacturer
1151,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,McGregor,Macgregor's Custom Machining,"Pictou County, NS B2H 5C7, Canada",manufacturer
1152,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,McGregor,McGregor Auto Parts,"44267 Elm Line, St Thomas, ON N5P 3S6, Canada",automotive parts manufacturer
1153,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,McGregor,Starcor Manufacturing,"334070 Hwy 19 S, Ingersoll, ON N5C 3J8, Canada",manufacturer
