place_id,company_name,formatted_address,city_searched,zone,keyword_searched,raw_query
ChIJoxvh-jPzLogRVJDs-M3Z_Vs,Brose Canada Inc,"1500 Max Brose Dr, London, ON N6N 1P6, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJectv-oPyLogR5DUa03tKEuM,Ramsden Industries Ltd.,"128 Oakland Ave, London, ON N5W 4H6, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJwSsHR6jzLogRETm35Wa1VT8,Ursa Manufacturing,"1477 Sise Rd, London, ON N6N 1E1, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJ8V1N8TztLogREXSBOFhiTdU,3M Canada Manufacturing Facility,"1840 Oxford St E, London, ON N5V 3R6, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJYwPTIIHtLogRMVPVPCpJ4Fo,Attica Manufacturing,"25 Invicta Ct, London, ON N6E 2T4, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJuyQ0rxaNLogR00erRcPjB3U,Aspire,"2450 Innovation Drive, London, ON N6M 0C8, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJVd_MHALyLogRKj_ERpRcZOY,Toboggan Brewing Company,"585 Richmond St, London, ON N6A 3G2, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJG97W0LL2LogRnOC7qx-BMnI,Canduct Industries,"4575 Blakie Rd, London, ON N6L 1P8, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJ6xxs1tOSLogRVjlf13UBjNo,Stein Industries Inc.,"19 Artisans Crescent, London, ON N5V 5E9, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJM1ZoTRKNLogR3aR6HDgzfWo,Canada Tubeform,"2879 Innovation Drive, London, ON N6M 0B6, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJ-eGTkU3xLogRzAVOGp9jNMA,London Marble Manufacturing Inc,"179 Exeter Rd Unit D, London, ON N6L 1A4, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJYVEMEhqNLogRC5mH0HwQ31I,Sodecia Automotive London Inc,"2530 Innovation Drive, London, ON N6M 0C5, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJj9Ygil3zLogRL9__0UmuECo,Transform Automotive,"3745 Commerce Rd, London, ON N6N 1R1, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
ChIJLdGnzrmSLogRzPYb42ZsJpY,Abuma Manufacturing Ltd,"531 Admiral Dr, London, ON N5V 4L6, Canada",London,Zone 4 — London / Middlesex,manufacturer,"manufacturer in London, Ontario, Canada"
