place_id,company_name,formatted_address,city_searched,zone,keyword_searched,raw_query
ChIJd9nxJActO4gReWTOB0M_2I0,Germaine Restaurant Supply,"1131 Crawford Ave, Windsor, ON N9A 5E1, Canada",Windsor,Zone 1 — Windsor / Essex County,industrial equipment supplier,"industrial equipment supplier in Windsor, Ontario, Canada"
ChIJd8o4tIEtO4gRzbmiqtE8Re4,Sandwich Brewing Company,"3232 Sandwich St., Windsor, ON N9C 1A8, Canada",Windsor,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Windsor, Ontario, Canada"
ChIJNQR2ct4tO4gRrwD45rN9oHU,CAFÉ DE HABIBI,"2395 Everts Ave, Windsor, ON N9E 3Y1, Canada",LaSalle,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in LaSalle, Ontario, Canada"
ChIJ4So9oZkvO4gRwdIXXvUGPwI,Boggs Coffee,"6865 Disputed Rd, LaSalle, ON N9H 1Y3, Canada",LaSalle,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in LaSalle, Ontario, Canada"
ChIJKW76lHkvO4gRgnOxmjqSHU0,Kava Café & Bakery Inc.,"5841 Malden Rd #164, LaSalle, ON N9H 1S3, Canada",LaSalle,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in LaSalle, Ontario, Canada"
ChIJxarfkKMvO4gRc-S_Cv1IMKw,St . Clair College Shipping Receiving Dock,"2000 Talbot Rd, Windsor, ON N9G 3C3, Canada",LaSalle,Zone 1 — Windsor / Essex County,logistics warehouse,"logistics warehouse in LaSalle, Ontario, Canada"
ChIJfVMSZZ4rO4gRrEf1kd-cLc8,Joseph's Farm Market (East),"6645 Tecumseh Rd E, Windsor, ON N8T 1E7, Canada",Tecumseh,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Tecumseh, Ontario, Canada"
ChIJAxeSYRIrO4gRYWW1cD5_uTU,Mexico Lindo Latin American Food Market,"4611 Tecumseh Rd E, Windsor, ON N8W 1K8, Canada",Tecumseh,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Tecumseh, Ontario, Canada"
ChIJGUXTkIkkO4gR0gIv9d1-n4c,Vivace Estate Winery,"5141 Concession Rd 5 N, Amherstburg, ON N9V 0C8, Canada",Amherstburg,Zone 1 — Windsor / Essex County,manufacturer,"manufacturer in Amherstburg, Ontario, Canada"
ChIJKQ_xqOYlO4gR0FQJ4YakxpU,Wolfhead Distillery & Restaurant,"7781 Howard Ave, Amherstburg, ON N0R 1J0, Canada",Amherstburg,Zone 1 — Windsor / Essex County,manufacturing company,"manufacturing company in Amherstburg, Ontario, Canada"
ChIJKZImih4tO4gRcYwh12-VYd4,Beer Store 3263,"80 Park St W, Amherstburg, ON N9V 1N5, Canada",Amherstburg,Zone 1 — Windsor / Essex County,warehouse,"warehouse in Amherstburg, Ontario, Canada"
ChIJfbB_XJo8O4gR5reJaQQk4XY,Super Green Convenience Store,"321 Sandwich St S, Amherstburg, ON N9V 2A9, Canada",Amherstburg,Zone 1 — Windsor / Essex County,warehouse,"warehouse in Amherstburg, Ontario, Canada"
ChIJCxzEN5glO4gRFZraS9nNP5Y,Amherstburg Self Storage,"33 Concession Rd 3 N, Amherstburg, ON N9V 2Y9, Canada",Amherstburg,Zone 1 — Windsor / Essex County,warehouse,"warehouse in Amherstburg, Ontario, Canada"
ChIJs8YwEzQiO4gRajOTvl1kQyY,Amherstburg Market at GL Heritage Brewery,"8728 Howard Ave, Amherstburg, ON N9V 0C8, Canada",Amherstburg,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Amherstburg, Ontario, Canada"
ChIJY1oFTAA9O4gRkhb6sATogwo,Golden Oven European Bakery,"290 Sandwich St S, Amherstburg, ON N9V 2A8, Canada",Amherstburg,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Amherstburg, Ontario, Canada"
ChIJKWUYXHw9O4gRWt4_3IOrf_w,Evelyn's Candy House,"63 Richmond St, Amherstburg, ON N9V 1G1, Canada",Amherstburg,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Amherstburg, Ontario, Canada"
ChIJkRGvbV49O4gRETDXu6G2YJs,Legacies Kitchen,"190 Richmond St, Amherstburg, ON N9V 1G4, Canada",Amherstburg,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Amherstburg, Ontario, Canada"
ChIJr2vumbzWOogRe4YsWqJGGaQ,Wagner Orchards & Estate Winery,"1222 Lakeshore Road 103, Lakeshore, ON N0R 1K0, Canada",Lakeshore,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Lakeshore, Ontario, Canada"
ChIJ_6JirELVOogRrfdB1-BEDrY,WP Web & Print Boutique,"319 Talbot St N Unit 2, Essex, ON N8M 2W3, Canada",Lakeshore,Zone 1 — Windsor / Essex County,commercial printing company,"commercial printing company in Lakeshore, Ontario, Canada"
ChIJGZceuxPNOogRxsveoyrJH-k,Joe's Variety Store,"590 Notre Dame St, Belle River, ON N8L 1K8, Canada",Belle River,Zone 1 — Windsor / Essex County,warehouse,"warehouse in Belle River, Ontario, Canada"
ChIJU2FRExrNOogR5E381qoiS7I,Beer Store 3264,"399 Notre Dame St, Belle River, ON N8L 1K8, Canada",Belle River,Zone 1 — Windsor / Essex County,warehouse,"warehouse in Belle River, Ontario, Canada"
ChIJ_3kw_FHNOogR4yg8mna6iD0,Belle River Health Centre Pharmacy,"467 Notre Dame St, Belle River, ON N8L 1K8, Canada",Belle River,Zone 1 — Windsor / Essex County,distribution center,"distribution center in Belle River, Ontario, Canada"
ChIJeRmc8RLNOogRpJbqt_7WxEY,Outfield Diner,"601 Centre St #3, Belle River, ON N8L 1K8, Canada",Belle River,Zone 1 — Windsor / Essex County,distribution center,"distribution center in Belle River, Ontario, Canada"
ChIJY0krkOzNOogRR7NYY_48ykc,Belle River Family Restaurant,"189 Dupuis St, Belle River, ON N8L 1K8, Canada",Belle River,Zone 1 — Windsor / Essex County,food manufacturer,"food manufacturer in Belle River, Ontario, Canada"
ChIJhYgRzvq1OogRxM-OpQ8cXgE,A&W Canada,"7008 Industrial Dr, Comber, ON N0P 1J0, Canada",Comber,Zone 1 — Windsor / Essex County,warehouse,"warehouse in Comber, Ontario, Canada"
ChIJI8_Skn-1OogR6NM-V6ZWQjE,Original Guys Pizza Pies - OG PIZZA (Comber),"6316 Main St, Comber, ON N0P 1J0, Canada",Comber,Zone 1 — Windsor / Essex County,warehouse,"warehouse in Comber, Ontario, Canada"
